160940764,E23,16037181,Citizen Assist / Service Call,2016-04-03,2016-04-02,2016 Apr 03 06:52:20 AM,2016 Apr 03 06:53:47 AM,2016 Apr 03 06:54:02 AM,2016 Apr 03 06:57:33 AM,2016 Apr 03 07:00:08 AM,,,Fire,2016 Apr 03 07:36:40 AM,48TH AVE/NORIEGA ST,San Francisco,94122,B08,23,7725,3,3,3,true,Alarm,1,ENGINE,1,8,4,Sunset/Parkside,160940764-E23,POINT (-122.507545 37.75287),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160950115,64,16037480,Medical Incident,2016-04-04,2016-04-03,2016 Apr 04 01:12:39 AM,2016 Apr 04 01:13:11 AM,2016 Apr 04 01:13:24 AM,2016 Apr 04 01:13:39 AM,2016 Apr 04 01:18:58 AM,2016 Apr 04 01:48:27 AM,2016 Apr 04 02:01:42 AM,Code 2 Transport,2016 Apr 04 02:48:16 AM,PLYMOUTH AVE/BROAD ST,San Francisco,94112,B09,33,8374,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,11,Oceanview/Merced/Ingleside,160950115-64,POINT (-122.456055 37.713192),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160952484,66,16037683,Medical Incident,2016-04-04,2016-04-04,2016 Apr 04 03:32:37 PM,2016 Apr 04 03:33:35 PM,2016 Apr 04 03:35:11 PM,2016 Apr 04 03:35:43 PM,2016 Apr 04 03:40:19 PM,2016 Apr 04 03:57:38 PM,2016 Apr 04 04:14:35 PM,Code 2 Transport,2016 Apr 04 04:59:37 PM,MARIPOSA ST/BRYANT ST,San Francisco,94110,B02,7,5426,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,9,Mission,160952484-66,POINT (-122.41025 37.76303),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160960310,RC2,16037872,Medical Incident,2016-04-05,2016-04-04,2016 Apr 05 04:03:12 AM,2016 Apr 05 04:04:35 AM,2016 Apr 05 04:08:06 AM,2016 Apr 05 04:09:57 AM,,,,Code 2 Transport,2016 Apr 05 04:12:29 AM,TARAVAL ST/18TH AVE,San Francisco,94116,B08,40,7416,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,4,8,7,West of Twin Peaks,160960310-RC2,POINT (-122.474625 37.743095),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160990236,65,16039173,Medical Incident,2016-04-08,2016-04-07,2016 Apr 08 02:13:27 AM,2016 Apr 08 02:21:26 AM,2016 Apr 08 02:24:49 AM,2016 Apr 08 02:24:54 AM,2016 Apr 08 02:30:33 AM,2016 Apr 08 02:36:18 AM,2016 Apr 08 02:43:35 AM,Code 2 Transport,2016 Apr 08 03:53:40 AM,EDDY ST/MASON ST,San Francisco,94102,B03,1,1365,2,2,2,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,160990236-65,POINT (-122.40931 37.784348),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160990395,E09,16039188,Medical Incident,2016-04-08,2016-04-07,2016 Apr 08 04:57:57 AM,2016 Apr 08 04:57:57 AM,2016 Apr 08 04:59:42 AM,2016 Apr 08 05:02:02 AM,2016 Apr 08 05:03:56 AM,,,Code 2 Transport,2016 Apr 08 05:13:17 AM,HOLLADAY AVE/PERALTA AVE,San Francisco,94110,B10,9,6375,2,2,2,true,Non Life-threatening,1,ENGINE,1,10,9,Bernal Heights,160990395-E09,POINT (-122.40494 37.748222),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
161040898,RC2,16041202,Medical Incident,2016-04-13,2016-04-13,2016 Apr 13 08:52:01 AM,2016 Apr 13 08:52:28 AM,2016 Apr 13 08:53:03 AM,2016 Apr 13 08:54:04 AM,2016 Apr 13 09:09:02 AM,,,Code 2 Transport,2016 Apr 13 09:18:31 AM,04TH ST/WELSH ST,San Francisco,94107,B03,8,2242,E,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,3,6,South of Market,161040898-RC2,POINT (-122.39754 37.779133),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
161041270,KM09,16041228,Medical Incident,2016-04-13,2016-04-13,2016 Apr 13 10:24:45 AM,2016 Apr 13 10:26:39 AM,2016 Apr 13 10:26:57 AM,2016 Apr 13 10:27:43 AM,,,,Fire,2016 Apr 13 10:35:47 AM,ELLIS ST/LEAVENWORTH ST,San Francisco,94109,B03,3,1461,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,6,Tenderloin,161041270-KM09,POINT (-122.41443 37.784657),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
160953483,E05,16037776,Traffic Collision,2016-04-04,2016-04-04,2016 Apr 04 07:50:08 PM,2016 Apr 04 07:51:48 PM,2016 Apr 04 07:54:40 PM,2016 Apr 04 07:54:40 PM,2016 Apr 04 07:55:16 PM,,,Code 2 Transport,2016 Apr 04 08:05:21 PM,PINE ST/FILLMORE ST,San Francisco,94115,B04,38,3543,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,4,2,Pacific Heights,160953483-E05,POINT (-122.43365 37.78795),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
161032244,71,16040947,Traffic Collision,2016-04-12,2016-04-12,2016 Apr 12 02:34:43 PM,2016 Apr 12 02:34:43 PM,2016 Apr 12 02:35:16 PM,2016 Apr 12 02:37:19 PM,2016 Apr 12 02:41:05 PM,2016 Apr 12 02:54:49 PM,2016 Apr 12 03:43:48 PM,Code 2 Transport,2016 Apr 12 04:09:26 PM,PLYMOUTH AVE/MANGELS AVE,San Francisco,94127,B09,15,8522,3,3,3,true,Potentially Life-Threatening,1,MEDIC,3,9,7,West of Twin Peaks,161032244-71,POINT (-122.45769 37.732178),2024-02-05T03:27:52.000-05:00,2024-02-05T10:56:25.000-05:00
