Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,RowID,case_location,data_as_of,data_loaded_at
160943727,53,16037460,Medical Incident,04/03/2016,04/03/2016,2016 Apr 03 11:15:12 PM,2016 Apr 03 11:18:05 PM,2016 Apr 03 11:18:33 PM,2016 Apr 03 11:18:45 PM,2016 Apr 03 11:35:10 PM,2016 Apr 03 11:46:08 PM,2016 Apr 04 12:11:46 AM,Code 2 Transport,2016 Apr 04 12:47:29 AM,POLK ST/CEDAR ST,San Francisco,94109,B04,03,3121,2,2,2,TRUE,Non Life-threatening,1,MEDIC,2,4,6,Tenderloin,160943727-53,POINT (-122.41983 37.786358),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
161021964,AM14,16040565,Medical Incident,04/11/2016,04/11/2016,2016 Apr 11 01:14:47 PM,2016 Apr 11 01:19:53 PM,2016 Apr 11 01:20:42 PM,2016 Apr 11 01:21:06 PM,2016 Apr 11 01:27:48 PM,2016 Apr 11 02:14:47 PM,2016 Apr 11 02:33:36 PM,Code 2 Transport,2016 Apr 11 03:06:20 PM,VALENCIA ST/15TH ST,San Francisco,94103,B02,06,5226,2,2,2,FALSE,Potentially Life-Threatening,1,PRIVATE,1,2,9,Mission,161021964-AM14,POINT (-122.42204 37.76654),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160930738,85,16036742,Structure Fire / Smoke in Building,04/02/2016,04/01/2016,2016 Apr 02 07:48:03 AM,2016 Apr 02 07:49:50 AM,2016 Apr 02 07:50:12 AM,2016 Apr 02 07:50:48 AM,,,,Fire,2016 Apr 02 07:55:35 AM,TURK ST/DODGE ST,San Francisco,94102,B02,03,1554,3,3,3,TRUE,Alarm,1,MEDIC,10,2,6,Tenderloin,160930738-85,POINT (-122.416985 37.78242),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160931745,E03,16036856,Medical Incident,04/02/2016,04/02/2016,2016 Apr 02 01:08:02 PM,2016 Apr 02 01:09:44 PM,2016 Apr 02 01:10:16 PM,2016 Apr 02 01:13:09 PM,2016 Apr 02 01:15:07 PM,,,Against Medical Advice,2016 Apr 02 01:16:51 PM,WILLOW ST/LARKIN ST,San Francisco,94109,B02,03,1643,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,2,2,6,Tenderloin,160931745-E03,POINT (-122.41762 37.78378),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160921757,E09,16036446,Medical Incident,04/01/2016,04/01/2016,2016 Apr 01 01:20:24 PM,2016 Apr 01 01:21:15 PM,2016 Apr 01 01:21:31 PM,2016 Apr 01 01:23:44 PM,2016 Apr 01 01:26:00 PM,,,Code 2 Transport,2016 Apr 01 01:47:39 PM,LA SALLE AVE/NEWHALL ST,San Francisco,94124,B10,25,6467,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,160921757-E09,POINT (-122.39052 37.73754),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160982960,E01,16039038,Traffic Collision,04/07/2016,04/07/2016,2016 Apr 07 05:35:19 PM,2016 Apr 07 05:35:19 PM,2016 Apr 07 05:36:19 PM,2016 Apr 07 05:38:10 PM,,,,Code 2 Transport,2016 Apr 07 05:44:50 PM,TAYLOR ST/OPAL PL,San Francisco,94102,B03,01,1454,3,3,3,TRUE,Potentially Life-Threatening,1,ENGINE,3,3,6,Tenderloin,160982960-E01,POINT (-122.4107 37.782894),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160991136,T14,16039249,Outside Fire,04/08/2016,04/08/2016,2016 Apr 08 10:28:58 AM,2016 Apr 08 10:29:28 AM,2016 Apr 08 10:38:28 AM,2016 Apr 08 10:38:28 AM,2016 Apr 08 10:38:28 AM,,,Fire,2016 Apr 08 10:38:49 AM,CALL BOX: ACADEMY OF SCIENCES,San Francisco,94118,B07,22,7744,3,3,3,FALSE,Fire,1,TRUCK,2,7,7,Golden Gate Park,160991136-T14,POINT (-122.464357976 37.769734903),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
161003584,70,16039985,Medical Incident,04/09/2016,04/09/2016,2016 Apr 09 11:07:48 PM,2016 Apr 09 11:07:48 PM,2016 Apr 09 11:08:49 PM,2016 Apr 09 11:08:59 PM,2016 Apr 09 11:20:30 PM,2016 Apr 09 11:32:15 PM,2016 Apr 10 12:27:05 AM,Code 2 Transport,2016 Apr 10 12:48:56 AM,REUEL CT/HUDSON AVE,San Francisco,94124,B10,25,6565,2,2,2,TRUE,Non Life-threatening,1,MEDIC,1,10,10,Bayview Hunters Point,161003584-70,POINT (-122.38364 37.736603),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
160990236,65,16039173,Medical Incident,04/08/2016,04/07/2016,2016 Apr 08 02:13:27 AM,2016 Apr 08 02:21:26 AM,2016 Apr 08 02:24:49 AM,2016 Apr 08 02:24:54 AM,2016 Apr 08 02:30:33 AM,2016 Apr 08 02:36:18 AM,2016 Apr 08 02:43:35 AM,Code 2 Transport,2016 Apr 08 03:53:40 AM,EDDY ST/MASON ST,San Francisco,94102,B03,01,1365,2,2,2,TRUE,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,160990236-65,POINT (-122.40931 37.784348),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
161040898,RC2,16041202,Medical Incident,04/13/2016,04/13/2016,2016 Apr 13 08:52:01 AM,2016 Apr 13 08:52:28 AM,2016 Apr 13 08:53:03 AM,2016 Apr 13 08:54:04 AM,2016 Apr 13 09:09:02 AM,,,Code 2 Transport,2016 Apr 13 09:18:31 AM,04TH ST/WELSH ST,San Francisco,94107,B03,08,2242,E,E,3,TRUE,Potentially Life-Threatening,1,RESCUE CAPTAIN,2,3,6,South of Market,161040898-RC2,POINT (-122.39754 37.779133),2024 Feb 05 03:27:52 AM,2024 Feb 05 10:56:25 AM
